a,p,tmax,delta
0.25,0.8,50,0
0.25,0.8,100,0
0.25,0.8,200,0
0.25,0.8,400,0
0.25,1,50,0
0.25,1,100,0
0.25,1,200,0
0.25,1,400,0
0.5,0,50,0.2
0.5,0,100,0
0.5,0,200,0
0.5,0,400,0
0.5,0.2,50,0
0.5,0.2,100,0
0.5,0.2,200,0
0.5,0.2,400,0
0.5,0.4,50,9.2
0.5,0.4,100,0
0.5,0.4,200,0
0.5,0.4,400,0
0.5,0.6,50,0
0.5,0.6,100,0
0.5,0.6,200,0
0.5,0.6,400,0
0.5,0.8,50,0.2
0.5,0.8,100,0
0.5,0.8,200,0
0.5,0.8,400,0
0.5,1,50,0
0.5,1,100,0
0.5,1,200,0
0.5,1,400,0
0.75,0,50,0.4
0.75,0,100,9.4
0.75,0,200,0
0.75,0,400,0
0.75,0.2,50,9.4
0.75,0.2,100,0.2
0.75,0.2,200,0
0.75,0.2,400,0
